Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
XT-K-M7-VV1-REI120-CV50-X120-H240-6.2,"-62,1","75,2",0.0,62.1,75.2,0.0,C25/30,L1000,XT-K-M7-VV1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M7,VV1,REI120,CV50,X120,H240,6.2
XT-K-M7-VV1-REI120-CV50-X120-H240-6.2,"-62,1","-50,1",0.0,62.1,0.0,50.1,C25/30,L1000,XT-K-M7-VV1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M7,VV1,REI120,CV50,X120,H240,6.2
XT-K-M8-V1-REI120-CV50-X120-H240-6.2,"-67,8","87,8",0.0,67.8,87.8,0.0,C25/30,L1000,XT-K-M8-V1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M8,V1,REI120,CV50,X120,H240,6.2
XT-K-M8-V2-REI120-CV50-X120-H240-6.2,"-67,8","112,8",0.0,67.8,112.8,0.0,C25/30,L1000,XT-K-M8-V2-REI120-CV50-X120-H240-L1000-6.2,XT,K,M8,V2,REI120,CV50,X120,H240,6.2
XT-K-M8-VV1-REI120-CV50-X120-H240-6.2,"-67,8","87,8",0.0,67.8,87.8,0.0,C25/30,L1000,XT-K-M8-VV1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M8,VV1,REI120,CV50,X120,H240,6.2
XT-K-M8-VV1-REI120-CV50-X120-H240-6.2,"-67,8","-50,1",0.0,67.8,0.0,50.1,C25/30,L1000,XT-K-M8-VV1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M8,VV1,REI120,CV50,X120,H240,6.2
XT-K-M9-V1-REI120-CV50-X120-H240-6.2,"-83,6","112,8",0.0,83.6,112.8,0.0,C25/30,L1000,XT-K-M9-V1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M9,V1,REI120,CV50,X120,H240,6.2
XT-K-M9-V2-REI120-CV50-X120-H240-6.2,"-83,6","125,4",0.0,83.6,125.4,0.0,C25/30,L1000,XT-K-M9-V2-REI120-CV50-X120-H240-L1000-6.2,XT,K,M9,V2,REI120,CV50,X120,H240,6.2
XT-K-M10-V1-REI120-CV50-X120-H240-6.2,"-83,6","112,8",0.0,83.6,112.8,0.0,C25/30,L1000,XT-K-M10-V1-REI120-CV50-X120-H240-L1000-6.2,XT,K,M10,V1,REI120,CV50,X120,H240,6.2
XT-K-M10-V2-REI120-CV50-X120-H240-6.2,"-83,6","125,4",0.0,83.6,125.4,0.0,C25/30,L1000,XT-K-M10-V2-REI120-CV50-X120-H240-L1000-6.2,XT,K,M10,V2,REI120,CV50,X120,H240,6.2
