Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
T-D-MM1-VV3.2-REI120-CV30-X80-H170-6.0,"±14,8","±92,8",14.8,14.8,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV30-X80-H170-L500-6.0,T,D,MM1,VV3.2,REI120,CV30,X80,H170,6.0
T-D-MM1-VV1-REI120-CV50-X80-H210-6.0,"±8,8","±17,4",8.8,8.8,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV50-X80-H210-L500-6.0,T,D,MM1,VV1,REI120,CV50,X80,H210,6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H210-6.0,"±17,6","±34,8",17.6,17.6,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV50-X80-H210-L500-6.0,T,D,MM1,VV1.2,REI120,CV50,X80,H210,6.0
T-D-MM1-VV2-REI120-CV50-X80-H210-6.0,"±8,4","±26,1",8.4,8.4,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV50-X80-H210-L500-6.0,T,D,MM1,VV2,REI120,CV50,X80,H210,6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H210-6.0,"±16,8","±52,2",16.8,16.8,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV50-X80-H210-L500-6.0,T,D,MM1,VV2.2,REI120,CV50,X80,H210,6.0
T-D-MM1-VV3-REI120-CV50-X80-H210-6.0,"±7,4","±46,4",7.4,7.4,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV50-X80-H210-L500-6.0,T,D,MM1,VV3,REI120,CV50,X80,H210,6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H210-6.0,"±14,8","±92,8",14.8,14.8,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV50-X80-H210-L500-6.0,T,D,MM1,VV3.2,REI120,CV50,X80,H210,6.0
T-D-MM1-VV1-REI120-CV35-X80-H180-6.0,"±9,2","±17,4",9.2,9.2,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV35-X80-H180-L500-6.0,T,D,MM1,VV1,REI120,CV35,X80,H180,6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H180-6.0,"±18,4","±34,8",18.4,18.4,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV35-X80-H180-L500-6.0,T,D,MM1,VV1.2,REI120,CV35,X80,H180,6.0
T-D-MM1-VV2-REI120-CV35-X80-H180-6.0,"±8,8","±26,1",8.8,8.8,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV35-X80-H180-L500-6.0,T,D,MM1,VV2,REI120,CV35,X80,H180,6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H180-6.0,"±17,6","±52,2",17.6,17.6,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV35-X80-H180-L500-6.0,T,D,MM1,VV2.2,REI120,CV35,X80,H180,6.0
T-D-MM1-VV3-REI120-CV35-X80-H180-6.0,"±7,7","±46,4",7.7,7.7,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV35-X80-H180-L500-6.0,T,D,MM1,VV3,REI120,CV35,X80,H180,6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H180-6.0,"±15,4","±92,8",15.4,15.4,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV35-X80-H180-L500-6.0,T,D,MM1,VV3.2,REI120,CV35,X80,H180,6.0
T-D-MM1-VV1-REI120-CV30-X80-H180-6.0,"±9,7","±17,4",9.7,9.7,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV30-X80-H180-L500-6.0,T,D,MM1,VV1,REI120,CV30,X80,H180,6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H180-6.0,"±19,4","±34,8",19.4,19.4,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV30-X80-H180-L500-6.0,T,D,MM1,VV1.2,REI120,CV30,X80,H180,6.0
T-D-MM1-VV2-REI120-CV30-X80-H180-6.0,"±9,2","±26,1",9.2,9.2,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV30-X80-H180-L500-6.0,T,D,MM1,VV2,REI120,CV30,X80,H180,6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H180-6.0,"±18,4","±52,2",18.4,18.4,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV30-X80-H180-L500-6.0,T,D,MM1,VV2.2,REI120,CV30,X80,H180,6.0
T-D-MM1-VV3-REI120-CV30-X80-H180-6.0,"±8,1","±46,4",8.1,8.1,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV30-X80-H180-L500-6.0,T,D,MM1,VV3,REI120,CV30,X80,H180,6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H180-6.0,"±16,2","±92,8",16.2,16.2,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV30-X80-H180-L500-6.0,T,D,MM1,VV3.2,REI120,CV30,X80,H180,6.0
T-D-MM1-VV1-REI120-CV50-X80-H220-6.0,"±9,7","±17,4",9.7,9.7,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV50-X80-H220-L500-6.0,T,D,MM1,VV1,REI120,CV50,X80,H220,6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H220-6.0,"±19,4","±34,8",19.4,19.4,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV50-X80-H220-L500-6.0,T,D,MM1,VV1.2,REI120,CV50,X80,H220,6.0
T-D-MM1-VV2-REI120-CV50-X80-H220-6.0,"±9,2","±26,1",9.2,9.2,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV50-X80-H220-L500-6.0,T,D,MM1,VV2,REI120,CV50,X80,H220,6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H220-6.0,"±18,4","±52,2",18.4,18.4,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV50-X80-H220-L500-6.0,T,D,MM1,VV2.2,REI120,CV50,X80,H220,6.0
T-D-MM1-VV3-REI120-CV50-X80-H220-6.0,"±8,1","±46,4",8.1,8.1,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV50-X80-H220-L500-6.0,T,D,MM1,VV3,REI120,CV50,X80,H220,6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H220-6.0,"±16,2","±92,8",16.2,16.2,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV50-X80-H220-L500-6.0,T,D,MM1,VV3.2,REI120,CV50,X80,H220,6.0
T-D-MM1-VV1-REI120-CV35-X80-H190-6.0,"±10,1","±17,4",10.1,10.1,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV35-X80-H190-L500-6.0,T,D,MM1,VV1,REI120,CV35,X80,H190,6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H190-6.0,"±20,2","±34,8",20.2,20.2,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM1,VV1.2,REI120,CV35,X80,H190,6.0
T-D-MM1-VV2-REI120-CV35-X80-H190-6.0,"±9,6","±26,1",9.6,9.6,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV35-X80-H190-L500-6.0,T,D,MM1,VV2,REI120,CV35,X80,H190,6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H190-6.0,"±19,2","±52,2",19.2,19.2,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM1,VV2.2,REI120,CV35,X80,H190,6.0
T-D-MM1-VV3-REI120-CV35-X80-H190-6.0,"±8,5","±46,4",8.5,8.5,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV35-X80-H190-L500-6.0,T,D,MM1,VV3,REI120,CV35,X80,H190,6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H190-6.0,"±17,0","±92,8",17.0,17.0,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM1,VV3.2,REI120,CV35,X80,H190,6.0
T-D-MM1-VV1-REI120-CV30-X80-H190-6.0,"±10,6","±17,4",10.6,10.6,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV30-X80-H190-L500-6.0,T,D,MM1,VV1,REI120,CV30,X80,H190,6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H190-6.0,"±21,2","±34,8",21.2,21.2,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM1,VV1.2,REI120,CV30,X80,H190,6.0
T-D-MM1-VV2-REI120-CV30-X80-H190-6.0,"±10,1","±26,1",10.1,10.1,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV30-X80-H190-L500-6.0,T,D,MM1,VV2,REI120,CV30,X80,H190,6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H190-6.0,"±20,2","±52,2",20.2,20.2,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM1,VV2.2,REI120,CV30,X80,H190,6.0
T-D-MM1-VV3-REI120-CV30-X80-H190-6.0,"±8,9","±46,4",8.9,8.9,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV30-X80-H190-L500-6.0,T,D,MM1,VV3,REI120,CV30,X80,H190,6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H190-6.0,"±17,8","±92,8",17.8,17.8,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM1,VV3.2,REI120,CV30,X80,H190,6.0
T-D-MM1-VV1-REI120-CV50-X80-H230-6.0,"±10,6","±17,4",10.6,10.6,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV50-X80-H230-L500-6.0,T,D,MM1,VV1,REI120,CV50,X80,H230,6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H230-6.0,"±21,2","±34,8",21.2,21.2,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM1,VV1.2,REI120,CV50,X80,H230,6.0
T-D-MM1-VV2-REI120-CV50-X80-H230-6.0,"±10,1","±26,1",10.1,10.1,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV50-X80-H230-L500-6.0,T,D,MM1,VV2,REI120,CV50,X80,H230,6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H230-6.0,"±20,2","±52,2",20.2,20.2,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM1,VV2.2,REI120,CV50,X80,H230,6.0
T-D-MM1-VV3-REI120-CV50-X80-H230-6.0,"±8,9","±46,4",8.9,8.9,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV50-X80-H230-L500-6.0,T,D,MM1,VV3,REI120,CV50,X80,H230,6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H230-6.0,"±17,8","±92,8",17.8,17.8,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM1,VV3.2,REI120,CV50,X80,H230,6.0
T-D-MM1-VV1-REI120-CV35-X80-H200-6.0,"±11,0","±17,4",11.0,11.0,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV35-X80-H200-L500-6.0,T,D,MM1,VV1,REI120,CV35,X80,H200,6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H200-6.0,"±22,0","±34,8",22.0,22.0,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM1,VV1.2,REI120,CV35,X80,H200,6.0
T-D-MM1-VV2-REI120-CV35-X80-H200-6.0,"±10,5","±26,1",10.5,10.5,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV35-X80-H200-L500-6.0,T,D,MM1,VV2,REI120,CV35,X80,H200,6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H200-6.0,"±21,0","±52,2",21.0,21.0,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM1,VV2.2,REI120,CV35,X80,H200,6.0
T-D-MM1-VV3-REI120-CV35-X80-H200-6.0,"±9,2","±46,4",9.2,9.2,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV35-X80-H200-L500-6.0,T,D,MM1,VV3,REI120,CV35,X80,H200,6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H200-6.0,"±18,4","±92,8",18.4,18.4,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM1,VV3.2,REI120,CV35,X80,H200,6.0
T-D-MM1-VV1-REI120-CV30-X80-H200-6.0,"±11,5","±17,4",11.5,11.5,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV30-X80-H200-L500-6.0,T,D,MM1,VV1,REI120,CV30,X80,H200,6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H200-6.0,"±23,0","±34,8",23.0,23.0,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM1,VV1.2,REI120,CV30,X80,H200,6.0
T-D-MM1-VV2-REI120-CV30-X80-H200-6.0,"±10,9","±26,1",10.9,10.9,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV30-X80-H200-L500-6.0,T,D,MM1,VV2,REI120,CV30,X80,H200,6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H200-6.0,"±21,8","±52,2",21.8,21.8,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM1,VV2.2,REI120,CV30,X80,H200,6.0
T-D-MM1-VV3-REI120-CV30-X80-H200-6.0,"±9,6","±46,4",9.6,9.6,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV30-X80-H200-L500-6.0,T,D,MM1,VV3,REI120,CV30,X80,H200,6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H200-6.0,"±19,2","±92,8",19.2,19.2,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM1,VV3.2,REI120,CV30,X80,H200,6.0
T-D-MM1-VV1-REI120-CV50-X80-H240-6.0,"±11,5","±17,4",11.5,11.5,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV50-X80-H240-L500-6.0,T,D,MM1,VV1,REI120,CV50,X80,H240,6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H240-6.0,"±23,0","±34,8",23.0,23.0,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM1,VV1.2,REI120,CV50,X80,H240,6.0
T-D-MM1-VV2-REI120-CV50-X80-H240-6.0,"±10,9","±26,1",10.9,10.9,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV50-X80-H240-L500-6.0,T,D,MM1,VV2,REI120,CV50,X80,H240,6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H240-6.0,"±21,8","±52,2",21.8,21.8,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM1,VV2.2,REI120,CV50,X80,H240,6.0
T-D-MM1-VV3-REI120-CV50-X80-H240-6.0,"±9,6","±46,4",9.6,9.6,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV50-X80-H240-L500-6.0,T,D,MM1,VV3,REI120,CV50,X80,H240,6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H240-6.0,"±19,2","±92,8",19.2,19.2,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM1,VV3.2,REI120,CV50,X80,H240,6.0
T-D-MM1-VV1-REI120-CV35-X80-H210-6.0,"±11,9","±17,4",11.9,11.9,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV35-X80-H210-L500-6.0,T,D,MM1,VV1,REI120,CV35,X80,H210,6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H210-6.0,"±23,8","±34,8",23.8,23.8,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM1,VV1.2,REI120,CV35,X80,H210,6.0
T-D-MM1-VV2-REI120-CV35-X80-H210-6.0,"±11,3","±26,1",11.3,11.3,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV35-X80-H210-L500-6.0,T,D,MM1,VV2,REI120,CV35,X80,H210,6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H210-6.0,"±22,6","±52,2",22.6,22.6,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM1,VV2.2,REI120,CV35,X80,H210,6.0
T-D-MM1-VV3-REI120-CV35-X80-H210-6.0,"±10,0","±46,4",10.0,10.0,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV35-X80-H210-L500-6.0,T,D,MM1,VV3,REI120,CV35,X80,H210,6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H210-6.0,"±20,0","±92,8",20.0,20.0,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM1,VV3.2,REI120,CV35,X80,H210,6.0
T-D-MM1-VV1-REI120-CV30-X80-H210-6.0,"±12,4","±17,4",12.4,12.4,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV30-X80-H210-L500-6.0,T,D,MM1,VV1,REI120,CV30,X80,H210,6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H210-6.0,"±24,8","±34,8",24.8,24.8,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM1,VV1.2,REI120,CV30,X80,H210,6.0
