Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
T-D-MM3-VV4-REI120-CV50-X80-H220-6.0,"±16,3","±90,7",16.3,16.3,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV50-X80-H220-L500-6.0,T,D,MM3,VV4,REI120,CV50,X80,H220,6.0
T-D-MM3-VV4.2-REI120-CV50-X80-H220-6.0,"±32,6","±181,4",32.6,32.6,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV50-X80-H220-L500-6.0,T,D,MM3,VV4.2,REI120,CV50,X80,H220,6.0
T-D-MM3-VV1-REI120-CV35-X80-H190-6.0,"±20,8","±26,1",20.8,20.8,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV1,REI120,CV35,X80,H190,6.0
T-D-MM3-VV1.2-REI120-CV35-X80-H190-6.0,"±41,6","±52,2",41.6,41.6,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV1.2,REI120,CV35,X80,H190,6.0
T-D-MM3-VV2-REI120-CV35-X80-H190-6.0,"±19,6","±46,4",19.6,19.6,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV2,REI120,CV35,X80,H190,6.0
T-D-MM3-VV2.2-REI120-CV35-X80-H190-6.0,"±39,2","±92,8",39.2,39.2,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV2.2,REI120,CV35,X80,H190,6.0
T-D-MM3-VV3-REI120-CV35-X80-H190-6.0,"±18,4","±68,0",18.4,18.4,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV3,REI120,CV35,X80,H190,6.0
T-D-MM3-VV3.2-REI120-CV35-X80-H190-6.0,"±36,8","±136,0",36.8,36.8,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV3.2,REI120,CV35,X80,H190,6.0
T-D-MM3-VV4-REI120-CV35-X80-H190-6.0,"±17,1","±90,7",17.1,17.1,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV4,REI120,CV35,X80,H190,6.0
T-D-MM3-VV4.2-REI120-CV35-X80-H190-6.0,"±34,2","±181,4",34.2,34.2,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV35-X80-H190-L500-6.0,T,D,MM3,VV4.2,REI120,CV35,X80,H190,6.0
T-D-MM3-VV1-REI120-CV30-X80-H190-6.0,"±21,7","±26,1",21.7,21.7,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV1,REI120,CV30,X80,H190,6.0
T-D-MM3-VV1.2-REI120-CV30-X80-H190-6.0,"±43,4","±52,2",43.4,43.4,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV1.2,REI120,CV30,X80,H190,6.0
T-D-MM3-VV2-REI120-CV30-X80-H190-6.0,"±20,5","±46,4",20.5,20.5,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV2,REI120,CV30,X80,H190,6.0
T-D-MM3-VV2.2-REI120-CV30-X80-H190-6.0,"±41,0","±92,8",41.0,41.0,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV2.2,REI120,CV30,X80,H190,6.0
T-D-MM3-VV3-REI120-CV30-X80-H190-6.0,"±19,2","±68,0",19.2,19.2,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV3,REI120,CV30,X80,H190,6.0
T-D-MM3-VV3.2-REI120-CV30-X80-H190-6.0,"±38,4","±136,0",38.4,38.4,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV3.2,REI120,CV30,X80,H190,6.0
T-D-MM3-VV4-REI120-CV30-X80-H190-6.0,"±17,9","±90,7",17.9,17.9,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV4,REI120,CV30,X80,H190,6.0
T-D-MM3-VV4.2-REI120-CV30-X80-H190-6.0,"±35,8","±181,4",35.8,35.8,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV4.2,REI120,CV30,X80,H190,6.0
T-D-MM3-VV5-REI120-CV30-X80-H190-6.0,"±15,0","±139,1",15.0,15.0,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV5,REI120,CV30,X80,H190,6.0
T-D-MM3-VV5.2-REI120-CV30-X80-H190-6.0,"±30,0","±278,2",30.0,30.0,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV30-X80-H190-L500-6.0,T,D,MM3,VV5.2,REI120,CV30,X80,H190,6.0
T-D-MM3-VV1-REI120-CV50-X80-H230-6.0,"±21,7","±26,1",21.7,21.7,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV1,REI120,CV50,X80,H230,6.0
T-D-MM3-VV1.2-REI120-CV50-X80-H230-6.0,"±43,4","±52,2",43.4,43.4,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV1.2,REI120,CV50,X80,H230,6.0
T-D-MM3-VV2-REI120-CV50-X80-H230-6.0,"±20,5","±46,4",20.5,20.5,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV2,REI120,CV50,X80,H230,6.0
T-D-MM3-VV2.2-REI120-CV50-X80-H230-6.0,"±41,0","±92,8",41.0,41.0,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV2.2,REI120,CV50,X80,H230,6.0
T-D-MM3-VV3-REI120-CV50-X80-H230-6.0,"±19,2","±68,0",19.2,19.2,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV3,REI120,CV50,X80,H230,6.0
T-D-MM3-VV3.2-REI120-CV50-X80-H230-6.0,"±38,4","±136,0",38.4,38.4,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV3.2,REI120,CV50,X80,H230,6.0
T-D-MM3-VV4-REI120-CV50-X80-H230-6.0,"±17,9","±90,7",17.9,17.9,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV4,REI120,CV50,X80,H230,6.0
T-D-MM3-VV4.2-REI120-CV50-X80-H230-6.0,"±35,8","±181,4",35.8,35.8,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV4.2,REI120,CV50,X80,H230,6.0
T-D-MM3-VV5-REI120-CV50-X80-H230-6.0,"±15,0","±139,1",15.0,15.0,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV5,REI120,CV50,X80,H230,6.0
T-D-MM3-VV5.2-REI120-CV50-X80-H230-6.0,"±30,0","±278,2",30.0,30.0,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV50-X80-H230-L500-6.0,T,D,MM3,VV5.2,REI120,CV50,X80,H230,6.0
T-D-MM3-VV1-REI120-CV35-X80-H200-6.0,"±22,6","±26,1",22.6,22.6,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV1,REI120,CV35,X80,H200,6.0
T-D-MM3-VV1.2-REI120-CV35-X80-H200-6.0,"±45,2","±52,2",45.2,45.2,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV1.2,REI120,CV35,X80,H200,6.0
T-D-MM3-VV2-REI120-CV35-X80-H200-6.0,"±21,3","±46,4",21.3,21.3,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV2,REI120,CV35,X80,H200,6.0
T-D-MM3-VV2.2-REI120-CV35-X80-H200-6.0,"±42,6","±92,8",42.6,42.6,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV2.2,REI120,CV35,X80,H200,6.0
T-D-MM3-VV3-REI120-CV35-X80-H200-6.0,"±20,0","±68,0",20.0,20.0,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV3,REI120,CV35,X80,H200,6.0
T-D-MM3-VV3.2-REI120-CV35-X80-H200-6.0,"±40,0","±136,0",40.0,40.0,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV3.2,REI120,CV35,X80,H200,6.0
T-D-MM3-VV4-REI120-CV35-X80-H200-6.0,"±18,6","±90,7",18.6,18.6,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV4,REI120,CV35,X80,H200,6.0
T-D-MM3-VV4.2-REI120-CV35-X80-H200-6.0,"±37,2","±181,4",37.2,37.2,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV4.2,REI120,CV35,X80,H200,6.0
T-D-MM3-VV5-REI120-CV35-X80-H200-6.0,"±15,6","±139,1",15.6,15.6,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV5,REI120,CV35,X80,H200,6.0
T-D-MM3-VV5.2-REI120-CV35-X80-H200-6.0,"±31,2","±278,2",31.2,31.2,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV35-X80-H200-L500-6.0,T,D,MM3,VV5.2,REI120,CV35,X80,H200,6.0
T-D-MM3-VV1-REI120-CV30-X80-H200-6.0,"±23,5","±26,1",23.5,23.5,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV1,REI120,CV30,X80,H200,6.0
T-D-MM3-VV1.2-REI120-CV30-X80-H200-6.0,"±47,0","±52,2",47.0,47.0,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV1.2,REI120,CV30,X80,H200,6.0
T-D-MM3-VV2-REI120-CV30-X80-H200-6.0,"±22,2","±46,4",22.2,22.2,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV2,REI120,CV30,X80,H200,6.0
T-D-MM3-VV2.2-REI120-CV30-X80-H200-6.0,"±44,4","±92,8",44.4,44.4,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV2.2,REI120,CV30,X80,H200,6.0
T-D-MM3-VV3-REI120-CV30-X80-H200-6.0,"±20,8","±68,0",20.8,20.8,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV3,REI120,CV30,X80,H200,6.0
T-D-MM3-VV3.2-REI120-CV30-X80-H200-6.0,"±41,6","±136,0",41.6,41.6,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV3.2,REI120,CV30,X80,H200,6.0
T-D-MM3-VV4-REI120-CV30-X80-H200-6.0,"±19,4","±90,7",19.4,19.4,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV4,REI120,CV30,X80,H200,6.0
T-D-MM3-VV4.2-REI120-CV30-X80-H200-6.0,"±38,8","±181,4",38.8,38.8,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV4.2,REI120,CV30,X80,H200,6.0
T-D-MM3-VV5-REI120-CV30-X80-H200-6.0,"±16,3","±139,1",16.3,16.3,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV5,REI120,CV30,X80,H200,6.0
T-D-MM3-VV5.2-REI120-CV30-X80-H200-6.0,"±32,6","±278,2",32.6,32.6,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV30-X80-H200-L500-6.0,T,D,MM3,VV5.2,REI120,CV30,X80,H200,6.0
T-D-MM3-VV1-REI120-CV50-X80-H240-6.0,"±23,5","±26,1",23.5,23.5,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV1,REI120,CV50,X80,H240,6.0
T-D-MM3-VV1.2-REI120-CV50-X80-H240-6.0,"±47,0","±52,2",47.0,47.0,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV1.2,REI120,CV50,X80,H240,6.0
T-D-MM3-VV2-REI120-CV50-X80-H240-6.0,"±22,2","±46,4",22.2,22.2,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV2,REI120,CV50,X80,H240,6.0
T-D-MM3-VV2.2-REI120-CV50-X80-H240-6.0,"±44,4","±92,8",44.4,44.4,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV2.2,REI120,CV50,X80,H240,6.0
T-D-MM3-VV3-REI120-CV50-X80-H240-6.0,"±20,8","±68,0",20.8,20.8,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV3,REI120,CV50,X80,H240,6.0
T-D-MM3-VV3.2-REI120-CV50-X80-H240-6.0,"±41,6","±136,0",41.6,41.6,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV3.2,REI120,CV50,X80,H240,6.0
T-D-MM3-VV4-REI120-CV50-X80-H240-6.0,"±19,4","±90,7",19.4,19.4,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV4,REI120,CV50,X80,H240,6.0
T-D-MM3-VV4.2-REI120-CV50-X80-H240-6.0,"±38,8","±181,4",38.8,38.8,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV4.2,REI120,CV50,X80,H240,6.0
T-D-MM3-VV5-REI120-CV50-X80-H240-6.0,"±16,3","±139,1",16.3,16.3,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV5,REI120,CV50,X80,H240,6.0
T-D-MM3-VV5.2-REI120-CV50-X80-H240-6.0,"±32,6","±278,2",32.6,32.6,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV50-X80-H240-L500-6.0,T,D,MM3,VV5.2,REI120,CV50,X80,H240,6.0
T-D-MM3-VV1-REI120-CV35-X80-H210-6.0,"±24,4","±26,1",24.4,24.4,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV1,REI120,CV35,X80,H210,6.0
T-D-MM3-VV1.2-REI120-CV35-X80-H210-6.0,"±48,8","±52,2",48.8,48.8,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV1.2,REI120,CV35,X80,H210,6.0
T-D-MM3-VV2-REI120-CV35-X80-H210-6.0,"±23,1","±46,4",23.1,23.1,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV2,REI120,CV35,X80,H210,6.0
T-D-MM3-VV2.2-REI120-CV35-X80-H210-6.0,"±46,2","±92,8",46.2,46.2,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV2.2,REI120,CV35,X80,H210,6.0
T-D-MM3-VV3-REI120-CV35-X80-H210-6.0,"±21,6","±68,0",21.6,21.6,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV3,REI120,CV35,X80,H210,6.0
T-D-MM3-VV3.2-REI120-CV35-X80-H210-6.0,"±43,2","±136,0",43.2,43.2,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV3.2,REI120,CV35,X80,H210,6.0
T-D-MM3-VV4-REI120-CV35-X80-H210-6.0,"±20,1","±90,7",20.1,20.1,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV4,REI120,CV35,X80,H210,6.0
T-D-MM3-VV4.2-REI120-CV35-X80-H210-6.0,"±40,2","±181,4",40.2,40.2,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV4.2,REI120,CV35,X80,H210,6.0
T-D-MM3-VV5-REI120-CV35-X80-H210-6.0,"±16,9","±139,1",16.9,16.9,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV5,REI120,CV35,X80,H210,6.0
T-D-MM3-VV5.2-REI120-CV35-X80-H210-6.0,"±33,8","±278,2",33.8,33.8,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV35-X80-H210-L500-6.0,T,D,MM3,VV5.2,REI120,CV35,X80,H210,6.0
T-D-MM3-VV1-REI120-CV30-X80-H210-6.0,"±25,3","±26,1",25.3,25.3,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV1,REI120,CV30,X80,H210,6.0
T-D-MM3-VV1.2-REI120-CV30-X80-H210-6.0,"±50,6","±52,2",50.6,50.6,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV1.2,REI120,CV30,X80,H210,6.0
T-D-MM3-VV2-REI120-CV30-X80-H210-6.0,"±23,9","±46,4",23.9,23.9,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV2,REI120,CV30,X80,H210,6.0
T-D-MM3-VV2.2-REI120-CV30-X80-H210-6.0,"±47,8","±92,8",47.8,47.8,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV2.2,REI120,CV30,X80,H210,6.0
T-D-MM3-VV3-REI120-CV30-X80-H210-6.0,"±22,5","±68,0",22.5,22.5,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV3,REI120,CV30,X80,H210,6.0
T-D-MM3-VV3.2-REI120-CV30-X80-H210-6.0,"±45,0","±136,0",45.0,45.0,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV3.2,REI120,CV30,X80,H210,6.0
T-D-MM3-VV4-REI120-CV30-X80-H210-6.0,"±20,9","±90,7",20.9,20.9,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV4,REI120,CV30,X80,H210,6.0
T-D-MM3-VV4.2-REI120-CV30-X80-H210-6.0,"±41,8","±181,4",41.8,41.8,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV4.2,REI120,CV30,X80,H210,6.0
T-D-MM3-VV5-REI120-CV30-X80-H210-6.0,"±17,5","±139,1",17.5,17.5,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV5,REI120,CV30,X80,H210,6.0
T-D-MM3-VV5.2-REI120-CV30-X80-H210-6.0,"±35,0","±278,2",35.0,35.0,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM3,VV5.2,REI120,CV30,X80,H210,6.0
T-D-MM3-VV1-REI120-CV50-X80-H250-6.0,"±25,3","±26,1",25.3,25.3,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV1,REI120,CV50,X80,H250,6.0
T-D-MM3-VV1.2-REI120-CV50-X80-H250-6.0,"±50,6","±52,2",50.6,50.6,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV1.2,REI120,CV50,X80,H250,6.0
T-D-MM3-VV2-REI120-CV50-X80-H250-6.0,"±23,9","±46,4",23.9,23.9,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV2,REI120,CV50,X80,H250,6.0
T-D-MM3-VV2.2-REI120-CV50-X80-H250-6.0,"±47,8","±92,8",47.8,47.8,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV2.2,REI120,CV50,X80,H250,6.0
T-D-MM3-VV3-REI120-CV50-X80-H250-6.0,"±22,5","±68,0",22.5,22.5,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV3,REI120,CV50,X80,H250,6.0
T-D-MM3-VV3.2-REI120-CV50-X80-H250-6.0,"±45,0","±136,0",45.0,45.0,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV3.2,REI120,CV50,X80,H250,6.0
T-D-MM3-VV4-REI120-CV50-X80-H250-6.0,"±20,9","±90,7",20.9,20.9,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV4,REI120,CV50,X80,H250,6.0
T-D-MM3-VV4.2-REI120-CV50-X80-H250-6.0,"±41,8","±181,4",41.8,41.8,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV4.2,REI120,CV50,X80,H250,6.0
T-D-MM3-VV5-REI120-CV50-X80-H250-6.0,"±17,5","±139,1",17.5,17.5,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV5,REI120,CV50,X80,H250,6.0
T-D-MM3-VV5.2-REI120-CV50-X80-H250-6.0,"±35,0","±278,2",35.0,35.0,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM3,VV5.2,REI120,CV50,X80,H250,6.0
T-D-MM3-VV1-REI120-CV35-X80-H220-6.0,"±26,3","±26,1",26.3,26.3,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV1,REI120,CV35,X80,H220,6.0
T-D-MM3-VV1.2-REI120-CV35-X80-H220-6.0,"±52,6","±52,2",52.6,52.6,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV1.2,REI120,CV35,X80,H220,6.0
T-D-MM3-VV2-REI120-CV35-X80-H220-6.0,"±24,8","±46,4",24.8,24.8,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV2,REI120,CV35,X80,H220,6.0
T-D-MM3-VV2.2-REI120-CV35-X80-H220-6.0,"±49,6","±92,8",49.6,49.6,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV2.2,REI120,CV35,X80,H220,6.0
T-D-MM3-VV3-REI120-CV35-X80-H220-6.0,"±23,3","±68,0",23.3,23.3,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV3,REI120,CV35,X80,H220,6.0
T-D-MM3-VV3.2-REI120-CV35-X80-H220-6.0,"±46,6","±136,0",46.6,46.6,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV3.2,REI120,CV35,X80,H220,6.0
T-D-MM3-VV4-REI120-CV35-X80-H220-6.0,"±21,6","±90,7",21.6,21.6,90.7,90.7,C25/30,L500,T-D-MM3-VV4-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV4,REI120,CV35,X80,H220,6.0
T-D-MM3-VV4.2-REI120-CV35-X80-H220-6.0,"±43,2","±181,4",43.2,43.2,181.4,181.4,C25/30,L500,T-D-MM3-VV4.2-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV4.2,REI120,CV35,X80,H220,6.0
T-D-MM3-VV5-REI120-CV35-X80-H220-6.0,"±18,2","±139,1",18.2,18.2,139.1,139.1,C25/30,L500,T-D-MM3-VV5-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV5,REI120,CV35,X80,H220,6.0
T-D-MM3-VV5.2-REI120-CV35-X80-H220-6.0,"±36,4","±278,2",36.4,36.4,278.2,278.2,C25/30,L500,T-D-MM3-VV5.2-REI120-CV35-X80-H220-L500-6.0,T,D,MM3,VV5.2,REI120,CV35,X80,H220,6.0
T-D-MM3-VV1-REI120-CV30-X80-H220-6.0,"±27,2","±26,1",27.2,27.2,26.1,26.1,C25/30,L500,T-D-MM3-VV1-REI120-CV30-X80-H220-L500-6.0,T,D,MM3,VV1,REI120,CV30,X80,H220,6.0
T-D-MM3-VV1.2-REI120-CV30-X80-H220-6.0,"±54,4","±52,2",54.4,54.4,52.2,52.2,C25/30,L500,T-D-MM3-VV1.2-REI120-CV30-X80-H220-L500-6.0,T,D,MM3,VV1.2,REI120,CV30,X80,H220,6.0
T-D-MM3-VV2-REI120-CV30-X80-H220-6.0,"±25,7","±46,4",25.7,25.7,46.4,46.4,C25/30,L500,T-D-MM3-VV2-REI120-CV30-X80-H220-L500-6.0,T,D,MM3,VV2,REI120,CV30,X80,H220,6.0
T-D-MM3-VV2.2-REI120-CV30-X80-H220-6.0,"±51,4","±92,8",51.4,51.4,92.8,92.8,C25/30,L500,T-D-MM3-VV2.2-REI120-CV30-X80-H220-L500-6.0,T,D,MM3,VV2.2,REI120,CV30,X80,H220,6.0
T-D-MM3-VV3-REI120-CV30-X80-H220-6.0,"±24,1","±68,0",24.1,24.1,68.0,68.0,C25/30,L500,T-D-MM3-VV3-REI120-CV30-X80-H220-L500-6.0,T,D,MM3,VV3,REI120,CV30,X80,H220,6.0
T-D-MM3-VV3.2-REI120-CV30-X80-H220-6.0,"±48,2","±136,0",48.2,48.2,136.0,136.0,C25/30,L500,T-D-MM3-VV3.2-REI120-CV30-X80-H220-L500-6.0,T,D,MM3,VV3.2,REI120,CV30,X80,H220,6.0
