Encoded,MrD,vRd,TableName
XT-D-MM1-VV2.2-REI120-CV35-X160-H250-6.0,28.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_2
XT-D-MM1-VV3-REI120-CV35-X160-H250-6.0,12.4,37.6,Schock_Isokorb_XT_Typ_D_6.0_2
XT-D-MM1-VV3.2-REI120-CV35-X160-H250-6.0,24.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_2
XT-D-MM2-VV1.2-REI120-CV35-X160-H160-6.0,22.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV50-X160-H200-6.0,23.4,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H170-6.0,24.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H170-6.0,11.2,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H170-6.0,22.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV50-X160-H210-6.0,26.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV50-X160-H210-6.0,11.8,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV50-X160-H210-6.0,23.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H180-6.0,27.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H180-6.0,12.4,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H180-6.0,24.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H180-6.0,10.9,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H180-6.0,21.8,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV50-X160-H220-6.0,28.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV50-X160-H220-6.0,13.0,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV50-X160-H220-6.0,26.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV50-X160-H220-6.0,11.4,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV50-X160-H220-6.0,22.8,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H190-6.0,30.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H190-6.0,13.6,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H190-6.0,27.2,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H190-6.0,11.9,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H190-6.0,23.8,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV50-X160-H230-6.0,31.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV50-X160-H230-6.0,14.2,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV50-X160-H230-6.0,28.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV50-X160-H230-6.0,12.5,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV50-X160-H230-6.0,25.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H200-6.0,32.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H200-6.0,14.8,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H200-6.0,29.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H200-6.0,13.0,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H200-6.0,26.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV50-X160-H240-6.0,33.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV50-X160-H240-6.0,15.4,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV50-X160-H240-6.0,30.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV50-X160-H240-6.0,13.5,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV50-X160-H240-6.0,27.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H210-6.0,35.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H210-6.0,16.0,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H210-6.0,32.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H210-6.0,14.0,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H210-6.0,28.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV50-X160-H250-6.0,36.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV50-X160-H250-6.0,16.7,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV50-X160-H250-6.0,33.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV50-X160-H250-6.0,14.6,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV50-X160-H250-6.0,29.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H220-6.0,37.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H220-6.0,17.3,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H220-6.0,34.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H220-6.0,15.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H220-6.0,30.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H230-6.0,40.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H230-6.0,18.5,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H230-6.0,37.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H230-6.0,16.2,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H230-6.0,32.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV1.2-REI120-CV35-X160-H240-6.0,43.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2-REI120-CV35-X160-H240-6.0,19.7,37.6,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV2.2-REI120-CV35-X160-H240-6.0,39.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3-REI120-CV35-X160-H240-6.0,17.2,58.8,Schock_Isokorb_XT_Typ_D_6.0_3
XT-D-MM2-VV3.2-REI120-CV35-X160-H240-6.0,34.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_3
