Encoded,MrD,vRd,TableName
XT-D-MM3-VV3.2-REI120-CV35-X160-H210-6.0,41.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4-REI120-CV35-X160-H210-6.0,18.7,78.3,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4.2-REI120-CV35-X160-H210-6.0,37.4,156.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5-REI120-CV35-X160-H210-6.0,15.4,112.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5.2-REI120-CV35-X160-H210-6.0,30.8,225.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV1.2-REI120-CV50-X160-H250-6.0,50.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2-REI120-CV50-X160-H250-6.0,23.4,37.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2.2-REI120-CV50-X160-H250-6.0,46.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3-REI120-CV50-X160-H250-6.0,21.4,58.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3.2-REI120-CV50-X160-H250-6.0,42.8,117.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4-REI120-CV50-X160-H250-6.0,19.4,78.3,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4.2-REI120-CV50-X160-H250-6.0,38.8,156.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5-REI120-CV50-X160-H250-6.0,16.0,112.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5.2-REI120-CV50-X160-H250-6.0,32.0,225.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV1.2-REI120-CV35-X160-H220-6.0,52.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2-REI120-CV35-X160-H220-6.0,24.3,37.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2.2-REI120-CV35-X160-H220-6.0,48.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3-REI120-CV35-X160-H220-6.0,22.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3.2-REI120-CV35-X160-H220-6.0,44.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4-REI120-CV35-X160-H220-6.0,20.1,78.3,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4.2-REI120-CV35-X160-H220-6.0,40.2,156.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5-REI120-CV35-X160-H220-6.0,16.6,112.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5.2-REI120-CV35-X160-H220-6.0,33.2,225.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV1.2-REI120-CV35-X160-H230-6.0,55.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2-REI120-CV35-X160-H230-6.0,26.0,37.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2.2-REI120-CV35-X160-H230-6.0,52.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3-REI120-CV35-X160-H230-6.0,23.7,58.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3.2-REI120-CV35-X160-H230-6.0,47.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4-REI120-CV35-X160-H230-6.0,21.5,78.3,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4.2-REI120-CV35-X160-H230-6.0,43.0,156.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5-REI120-CV35-X160-H230-6.0,17.8,112.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5.2-REI120-CV35-X160-H230-6.0,35.6,225.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV1.2-REI120-CV35-X160-H240-6.0,59.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2-REI120-CV35-X160-H240-6.0,27.7,37.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2.2-REI120-CV35-X160-H240-6.0,55.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3-REI120-CV35-X160-H240-6.0,25.2,58.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3.2-REI120-CV35-X160-H240-6.0,50.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4-REI120-CV35-X160-H240-6.0,22.9,78.3,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4.2-REI120-CV35-X160-H240-6.0,45.8,156.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5-REI120-CV35-X160-H240-6.0,18.9,112.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5.2-REI120-CV35-X160-H240-6.0,37.8,225.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV1.2-REI120-CV35-X160-H250-6.0,62.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2-REI120-CV35-X160-H250-6.0,29.4,37.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV2.2-REI120-CV35-X160-H250-6.0,58.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3-REI120-CV35-X160-H250-6.0,26.8,58.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV3.2-REI120-CV35-X160-H250-6.0,53.6,117.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4-REI120-CV35-X160-H250-6.0,24.3,78.3,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV4.2-REI120-CV35-X160-H250-6.0,48.6,156.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5-REI120-CV35-X160-H250-6.0,20.1,112.8,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM3-VV5.2-REI120-CV35-X160-H250-6.0,40.2,225.6,Schock_Isokorb_XT_Typ_D_6.0_6
XT-D-MM4-VV1.2-REI120-CV35-X160-H160-6.0,38.4,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV50-X160-H200-6.0,40.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H170-6.0,43.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H170-6.0,20.4,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H170-6.0,40.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV50-X160-H210-6.0,45.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV50-X160-H210-6.0,21.5,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV50-X160-H210-6.0,43.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H180-6.0,47.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H180-6.0,22.6,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H180-6.0,45.2,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H180-6.0,21.0,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H180-6.0,42.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H180-6.0,19.6,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H180-6.0,39.2,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV50-X160-H220-6.0,49.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV50-X160-H220-6.0,23.7,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV50-X160-H220-6.0,47.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV50-X160-H220-6.0,22.0,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV50-X160-H220-6.0,44.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV50-X160-H220-6.0,20.5,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV50-X160-H220-6.0,41.0,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H190-6.0,52.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H190-6.0,24.7,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H190-6.0,49.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H190-6.0,23.0,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H190-6.0,46.0,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H190-6.0,21.5,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H190-6.0,43.0,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H190-6.0,18.7,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H190-6.0,37.4,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV50-X160-H230-6.0,54.4,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV50-X160-H230-6.0,25.8,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV50-X160-H230-6.0,51.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV50-X160-H230-6.0,24.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV50-X160-H230-6.0,48.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV50-X160-H230-6.0,22.4,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV50-X160-H230-6.0,44.8,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV50-X160-H230-6.0,19.5,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV50-X160-H230-6.0,39.0,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H200-6.0,56.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H200-6.0,26.9,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H200-6.0,53.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H200-6.0,25.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H200-6.0,50.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H200-6.0,23.4,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H200-6.0,46.8,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H200-6.0,20.3,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H200-6.0,40.6,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV50-X160-H240-6.0,59.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV50-X160-H240-6.0,28.0,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV50-X160-H240-6.0,56.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV50-X160-H240-6.0,26.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV50-X160-H240-6.0,52.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV50-X160-H240-6.0,24.3,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV50-X160-H240-6.0,48.6,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV50-X160-H240-6.0,21.2,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV50-X160-H240-6.0,42.4,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H210-6.0,61.4,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H210-6.0,29.1,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H210-6.0,58.2,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H210-6.0,27.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H210-6.0,54.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H210-6.0,25.3,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H210-6.0,50.6,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H210-6.0,22.0,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H210-6.0,44.0,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV50-X160-H250-6.0,63.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV50-X160-H250-6.0,30.2,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV50-X160-H250-6.0,60.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV50-X160-H250-6.0,28.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV50-X160-H250-6.0,56.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV50-X160-H250-6.0,26.2,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV50-X160-H250-6.0,52.4,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV50-X160-H250-6.0,22.8,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV50-X160-H250-6.0,45.6,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H220-6.0,66.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H220-6.0,31.3,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H220-6.0,62.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H220-6.0,29.2,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H220-6.0,58.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H220-6.0,27.2,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H220-6.0,54.4,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H220-6.0,23.6,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H220-6.0,47.2,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H230-6.0,70.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H230-6.0,33.5,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H230-6.0,67.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H230-6.0,31.2,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H230-6.0,62.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H230-6.0,29.1,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H230-6.0,58.2,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H230-6.0,25.3,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H230-6.0,50.6,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H240-6.0,75.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H240-6.0,35.7,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H240-6.0,71.4,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H240-6.0,33.2,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H240-6.0,66.4,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H240-6.0,31.0,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H240-6.0,62.0,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H240-6.0,26.9,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H240-6.0,53.8,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV1.2-REI120-CV35-X160-H250-6.0,79.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2-REI120-CV35-X160-H250-6.0,37.9,37.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV2.2-REI120-CV35-X160-H250-6.0,75.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3-REI120-CV35-X160-H250-6.0,35.3,58.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV3.2-REI120-CV35-X160-H250-6.0,70.6,117.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4-REI120-CV35-X160-H250-6.0,32.9,78.3,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV4.2-REI120-CV35-X160-H250-6.0,65.8,156.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5-REI120-CV35-X160-H250-6.0,28.6,112.8,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM4-VV5.2-REI120-CV35-X160-H250-6.0,57.2,225.6,Schock_Isokorb_XT_Typ_D_6.0_7
XT-D-MM5-VV1.2-REI120-CV35-X160-H160-6.0,46.4,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV50-X160-H200-6.0,49.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV35-X160-H170-6.0,52.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV35-X160-H170-6.0,24.9,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV35-X160-H170-6.0,49.8,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV50-X160-H210-6.0,54.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV50-X160-H210-6.0,26.3,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV50-X160-H210-6.0,52.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV35-X160-H180-6.0,57.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV35-X160-H180-6.0,27.6,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV35-X160-H180-6.0,55.2,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3-REI120-CV35-X160-H180-6.0,26.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3.2-REI120-CV35-X160-H180-6.0,52.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4-REI120-CV35-X160-H180-6.0,24.6,78.3,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4.2-REI120-CV35-X160-H180-6.0,49.2,156.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV50-X160-H220-6.0,60.4,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV50-X160-H220-6.0,29.0,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV50-X160-H220-6.0,58.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3-REI120-CV50-X160-H220-6.0,27.3,58.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3.2-REI120-CV50-X160-H220-6.0,54.6,117.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4-REI120-CV50-X160-H220-6.0,25.8,78.3,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4.2-REI120-CV50-X160-H220-6.0,51.6,156.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV35-X160-H190-6.0,63.2,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV35-X160-H190-6.0,30.3,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV35-X160-H190-6.0,60.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3-REI120-CV35-X160-H190-6.0,28.6,58.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3.2-REI120-CV35-X160-H190-6.0,57.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4-REI120-CV35-X160-H190-6.0,27.0,78.3,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4.2-REI120-CV35-X160-H190-6.0,54.0,156.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV5-REI120-CV35-X160-H190-6.0,24.2,112.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV5.2-REI120-CV35-X160-H190-6.0,48.4,225.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV50-X160-H230-6.0,66.0,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV50-X160-H230-6.0,31.6,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV50-X160-H230-6.0,63.2,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3-REI120-CV50-X160-H230-6.0,29.9,58.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3.2-REI120-CV50-X160-H230-6.0,59.8,117.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4-REI120-CV50-X160-H230-6.0,28.2,78.3,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4.2-REI120-CV50-X160-H230-6.0,56.4,156.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV5-REI120-CV50-X160-H230-6.0,25.3,112.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV5.2-REI120-CV50-X160-H230-6.0,50.6,225.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV35-X160-H200-6.0,68.8,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV35-X160-H200-6.0,33.0,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV35-X160-H200-6.0,66.0,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3-REI120-CV35-X160-H200-6.0,31.1,58.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV3.2-REI120-CV35-X160-H200-6.0,62.2,117.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4-REI120-CV35-X160-H200-6.0,29.4,78.3,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV4.2-REI120-CV35-X160-H200-6.0,58.8,156.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV5-REI120-CV35-X160-H200-6.0,26.4,112.8,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV5.2-REI120-CV35-X160-H200-6.0,52.8,225.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV1.2-REI120-CV50-X160-H240-6.0,71.6,42.4,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2-REI120-CV50-X160-H240-6.0,34.3,37.6,Schock_Isokorb_XT_Typ_D_6.0_8
XT-D-MM5-VV2.2-REI120-CV50-X160-H240-6.0,68.6,75.2,Schock_Isokorb_XT_Typ_D_6.0_8
