Encoded,MrD,vRd,TableName
T-D-MM1-VV3-REI120-CV35-X80-H190-6.0,8.5,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H190-6.0,17.0,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H190-6.0,10.6,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H190-6.0,21.2,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H190-6.0,10.1,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H190-6.0,20.2,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H190-6.0,8.9,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H190-6.0,17.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV50-X80-H230-6.0,10.6,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H230-6.0,21.2,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV50-X80-H230-6.0,10.1,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H230-6.0,20.2,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV50-X80-H230-6.0,8.9,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H230-6.0,17.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H200-6.0,11.0,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H200-6.0,22.0,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H200-6.0,10.5,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H200-6.0,21.0,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H200-6.0,9.2,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H200-6.0,18.4,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H200-6.0,11.5,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H200-6.0,23.0,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H200-6.0,10.9,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H200-6.0,21.8,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H200-6.0,9.6,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H200-6.0,19.2,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV50-X80-H240-6.0,11.5,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H240-6.0,23.0,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV50-X80-H240-6.0,10.9,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H240-6.0,21.8,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV50-X80-H240-6.0,9.6,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H240-6.0,19.2,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H210-6.0,11.9,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H210-6.0,23.8,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H210-6.0,11.3,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H210-6.0,22.6,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H210-6.0,10.0,46.4,Schock_Isokorb_T_Typ_D_6.0
